Titre de l’article,Mots-clés,Résumé,issn,Titre de journal,sjr_score
Theoretical and numerical analysis of a class of quasilinear elliptic equations," domain decomposition algorithms , critical growth , newtons method , existence , operators , systems quasilinear equations , positive solution , newton method , domain decomposition , finite element","The purpose of this paper is to give a result of the existence of a non-negative weak solution of a quasilinear elliptic equation in the n-dimensional case, n >= 1, and to present a novel numerical method to compute it. in this work, we assume that the nonlinearity concerning the derivatives of the solution are sub-quadratics. the numerical algorithm designed to compute an approximation of the non-negative weak solution of the considered equation has coupled the newton method with domain decomposition and yosida approximation of the nonlinearity. the domain decomposition is adapted to the nonlinearity at each step of the newton method. numerical examples are presented and commented on.",19371632,Discrete and continuous dynamical systems-series s,0.541
"Periodic wave shock solutions of burgers equations, a new approach"," nonstandard analysis non standard analysis , boundary problem , viscid burgers equation , inviscid burgers equation , heat equation , peroidic wave shock",In this paper we present a new approach for the study of burgers equations. our purpose is to describe the asymptotic behavior of the solution in the cauchy problem for viscid equation with small parametr epsilon and to discuss in particular the case of periodic wave shock. we show that the solution of this problem approaches the shock type solution for the cauchy problem of the inviscid burgers equation. the results are formulated in classical mathematics and proved with infinitesimal techniques of non standard analysis.,20086822,International journal of nonlinear analysis and applications,0.161
Mathematical modelling of nitrogen removal in horizontal subsurface flow constructed wetland," splitting method , phosphorus , retention , ph horizontal sub-surface flow constructed wetland , nitrogen removal , mathematical modeling , advection-dispersion-reaction system , inverse problem psogsa algorithm",The research work presented herein makes a contribution to hssf cw grey-water treatment by developing a conceptual and numerical model to simulate the spatial and temporal variations of nitrogen concentration. this paper presents the simulation of flow and nitrogen removal processes by using the advection-dispersion-reaction modeling approach. the flow equation is solved by using the mixed finite ele- ment method. the system of advection-dispersion-reaction is solved by using the technique of separation of the operators. the equation of advection is approximed by the characteristics-galerkin method. the dispersion-reaction equation was carried by using the finite element method. the softwares freefem++ and matlab were used. this phenomenon was materialized by a horizontal subsurface flow constructed wetland treating greywater in a moroccan primary school. the decay coefficient are been identified by solving an inverse problem using observed data. the particle swarm optimization and gravitational search algorithm (psogsa) proposed by mirjalili et al. [24] is used to solve the inverse problem. numerical simulation was validated after calibration on the basis of obtained experimental data by controlling water quality parameters over a period of 100 days. comparative analysis shows that the total predicted effluent of nitrogen concentration obtained by the numerical simulation agrees fully with the one obtained by experimental data.,12236934,Annals of the university of craiova-mathematics and computer science series,0.259
Existence results of weak periodic solution for some quasilinear parabolic problem with l1 data," critical growth , equations , respect quasilinear problem , weak solutions , periodic solutions , sub and supper solutions",The goal of this paper is to study the existence of a weak periodic solution for a quasilinear parabolic equation with arbitrary growth non linearity with respect to the gradient and dirichlet boundary condition. the existence of at least one weak periodic solution is proved under the presence of a weak periodic super solution.,12236934,Annals of the university of craiova-mathematics and computer science series,0.259
Existence of global solutions for reaction diffusion systems modeling the electrodeposition of alloys with initial data measures," nickel-iron , films electrodeposition of alloys , weak solution , truncated functions , global solution","In this work, we are interested in the mathematical model of reaction diffusion systems. the originality of our study is to work with concentrations appearing in reactors together with measure initial data. to validate this model, we prove the existence of global weak solutions. the ""j"" technique introduced by pierre and martin [18] is suitable for this type of solutions. however, its adaptation has some new technical difficulties that we have to overcome.",10726691,Electronic journal of differential equations,0.415
Numerical analysis of transmission lines equation by new β-method schemes," transmission lines , finite-difference time-domain (fdtd) , electromagnetic propagation , fourth order , beta method , numerical stability , truncation error","In this paper we develop a new beta-method applied to the resolution of homogeneous transmission lines. a comparison with conventional methods used for this type of problems like fdtd method or classical beta-method is also given. furthermore, various numerical experiments are presented to confirm the accuracy, efficiency and stability of our proposed method. in particular, these simulations show that our new scheme is unconditionally stable and fourth-order accurate in space and time.",12241784,Analele stiintifice ale universitatii ovidius constanta-seria matematica,0.340
Global existence of solutions for a system modelling electromigration of ions through biological cell membranes with l1 data," weak solution , truncated functions , supersolution and subsolution , global existence","The aim of this work is to show the existence of weak solutions and supersolutions for a nonlinear system modelling ions migration through biological cells membranes with l-1-data. in the first step, we describe the mathematical model after that we define an approximating scheme. under simplifying assumptions on the model equation, we prove some l-1 a priori estimates, then we prove that the solution of the truncated system converges to the solution of our main problem.",13075543,European journal of pure and applied mathematics,0.436
Image restoration using a reaction-diffusion process," weak solutions , global existence , edge-detection , equations , mass , systems , space , heat degenerate elliptic systems , quasilinear , chemotaxis , angiogenesis , weak solutions","This study shows how partial differential equations can be employed to restore a digital image. it is in fact a generalization of the work presented by catte [12], which modify the perona-malik model by nonlinear diffusion. we give a demonstration of the consistency of the reaction-diffusion model proposed in our work.",10726691,Electronic journal of differential equations,0.415
Existence of solutions for quasilinear elliptic degenerate systems with l-1 data and nonlinearity in the gradient," reaction-diffusion systems , global existence , critical growth , boundedness , equations degenerate elliptic systems , auasilinear , chemotaxis , angiogenesis , weak solutions",In this article we show the existence of weak solutions for some quasilinear degenerate elliptic systems arising in modeling chemotaxis and angiogenesis. the nonlinearity we consider has critical growth with respect to the gradient and the data are in l-1.,10726691,Electronic journal of differential equations,0.415
Resolution of non-linear parabolic periodic problems using domain decomposition," elliptic-equations , algorithms , existence , systems , growth domain decomposition , nonlinear elliptic pde","In this paper we show the existence of weak solutions for a periodic equation with critical growth non linearity with respect to the gradient. a numerical algorithm to compute a numerical approximation of the weak solution is described. the algorithm is based on the schwarz overlapping domain decomposition method, combined with finite element method. in a first step a super-solution is computed. in a second step is computed a weak solution of the nonlinear problem using a newton method.",17593433,"Proceedings of the first international conference on parallel, distributed and grid computing for engineering",0.100
Existence for some quasilinear elliptic systems with critical growth nonlinearity and l1 data," reaction-diffusion systems , global existence , boundedness , dissipation , equations , blowup elliptic , quasilinear , quadratic , weak solutions , l-1 data",We prove the existence of weak solutions for some quasi-linear elliptic reaction-diffusion systems with dirichlet boundary conditions and satisfying to the two main properties: the positivity of the solutions and the balance law. the nonlinearity we consider here has critical growth with respect to the gradient and the data are in l-1.,14256908,Journal of applied analysis,0.243
Weak solutions for some reaction-diffusion systems with mass control and critical growth with respect to the gradient," elliptic-equations , global existence , boundedness","This paper is concerned with the existence of weak solutions for 2 x 2 reaction-diffusion systems for which two main properties hold: the positivity of the solutions and the triangular structure. moreover, the nonlinear terms have critical growth with respect to the gradient.",00758469,"Partial differential equations, proceedings",0.413
Global existence for reaction-diffusion systems with mass control and critical growth with respect to the gradient," elliptic-equations , parabolic equations , l(1)","In this paper we study the existence of global weak solutions for 2 x 2 reaction-diffusion systems for which two main properties hold: the positivity of the solutions and the total mass of the components are preserved with time. moreover we suppose that the non-linearities have critical growth with respect to the gradient. the technique we use here in order to prove global existence is in the same spirit of the method developed by boccardo, murat, and fuel for a single equation. (c) 2001 academic press.",0022247X,Journal of mathematical analysis and applications,0.816
Convergence of toland's critical points for sequences of dc functions and application to the resolution of semilinear elliptic problems," algorithms non-convex optimization , dc functions , toland's critical point , normalized dc decomposition , semilinear elliptic problem , proximal algorithm","We prove that if a sequence (f(n))(n) of d.c. functions (difference of two convex functions) converges to a d.c. function f in some appropriate way and if u(n) is a critical point of f(n), in the sense described by toland, and is such that (u(n))(n) converges to u, then u is a critical point of f, still in toland's sense. we also build a new algorithm which searches for this critical point u and then apply it in order to compute the solution of a semilinear elliptic equation.",03248569,Control and cybernetics,0.164
Weak solutions of some quasi-linear elliptic-equations with data measures," existence quasi-linear equations , elliptic , convex nonlinearities , data measures , nonlinear capacities","Existence and uniqueness of weak solutions for some quasilinear elliptic equations with data measures and arbitrary growth with respect to the gradient are studied. usual techniques based on a priori l(infinity)-bounds for the solutions and its gradient do not apply so that a new approach is needed. various necessary or sufficient conditions are obtained on the data for existence. relationship between existence of supersolutions and solutions is considered. finally, sharp uniqueness results for weak solutions are given.",00361410,Siam journal on mathematical analysis,2.374
Evaluation criteria for rdf triplestores with an application to allegrograph," rdf , rdfs , sparql , triplestore , big data , nosql , allegrograph","Since its launching as the standard language of the semantic web, the resource description framework rdf has gained an enormous importance in many fields. this has led to the appearance of a variety of data systems to store and process rdf data. to help users identify the best suited rdf data stores for their needs, we establish a list of evaluation and comparison criteria of existing rdf management systems also called triplestores. this is the first work addressing such topic for such triplestores. the criteria list highlights various aspects and is not limited to special stores but covers all types of stores including among others relational, native, centralized, distributed and big data stores. furthermore, this criteria list is established taking into account relevant issues in accordance with triplestores tasks with respect to the main issues of rdf data storage, rdf data processing, performance, distribution and ease of use. as a study case we consider an application of the evaluation criteria to the graph rdf triplestore allegrograph.",2158107X,International journal of advanced computer science and applications,0.278
A robust optimization approach of sql-to-sparql query rewriting," sql-to-sparql , outer join optimization , query transformation , sql simplification , query optimization layer","In order to ensure the interoperability between semantic web and relational databases, several approaches have been developed to ensure sql-to-sparql query transformation direction, but all these approaches have the same weakness. in fact, they convert directly the input sql query to its equivalent sparql one without any pre-processing phase enabling the optimization of this input query filled by users before starting the conversion process. this weakness has motivated us to add a pretreatment phase aiming to optimize the most important sql statements which seem to have the biggest impact on the effectiveness of the transformed queries. our main contribution is to enrich these rewriting systems by adding an optimization layer that integrate a set of simplification rules of left, right and full outer join in order to avoid, firstly unnecessary operations during the conversion process, and secondly sparql queries with a high complexity due to optional patterns obtained from outer join in this conversion context.",2158107X,International journal of advanced computer science and applications,0.278
Sql to sparql conversion for direct rdf querying," resource description framework (rdf) , structured query language (sql) , simple protocol and rdf query language (sparql) , schema mapping , query conversion , allegrograph","With the advances in native storage means of rdf data and associated querying capabilities using sparql, there is a need to let sql users benefit from such capabilities for interoperability objectives and without any conversion of the rdf data into relational data. in this sense, this work present sql2sparql4rdf an automatic conversion algorithm of sql queries into sparql queries for querying rdf data, which extends the previously established algorithm with relevant sql elements such as queries with insert, delete, group by and having clauses. sql users are provided with a relational schema of their rdf data against which they can formulate their sql queries that are then converted into sparql equivalent ones with respect to the provided schema. this avoids the birding of translating instances and data replication and thus saving loading times and guaranteeing fast execution especially in the case of massive amounts of data. in addition, the automatic mapping framework developed by the java programming language, and implement many new mapping functionalities. furthermore, to test and validate the efficiency of the mapping approach and adding a module for automatic execution and evaluation of the various obtained sparql queries on allegrograph.",2158107X,International journal of advanced computer science and applications,0.278
Ontology and rule-based recommender system for e-learning applications," semantic web , recommendation system , ontology , e-learning , swrl","The continuous growth of the internet has given rise to an overwhelming mass of learning materials. which has increased the demand for a recommendation system to filter information and to deliver the learning materials that fit learners learning context. in this paper, we propose an architecture of a semantic web based recommender system. the proposed architecture is a redesigned architecture of the classical 3-tiers web application architecture with an additional semantic layer. this layer holds two semantic subsystems: an ontology based subsystem and swrl (semantic web rule language) rules one. the ontology subsystem is used as a reusable and sharable domain knowledge to model the learning content and context. the swrl rules are used as a recommendation and filtering technique based on learning object relevance and weighting. these rules are organized into four categories: learning history rules (lhr), learning performance rules (lpr), learning social network rules (lsnr) and learning pathway rules (pr).",18630383,International journal of emerging technologies in learning,0.536
Integration of heterogeneous classical data sources in an ontological database," similarity , xml integrating data , ontologies , uml , xml , rdb , owl2","The development of semantic web technologies and the expansion of the amount of data managed within companies databases has significantly expanded the gap between information systems and amplified the changes in many technologies. however, this growth of information will give rise to real obstacles if we cannot maintain the pace with these changes and meet the needs of users. to succeed, researchers must administrate properly these sources of knowledge and support the interoperability of heterogeneous information systems. in this perspective, it is necessary to find a solution for integrating data from traditional information systems into richer systems based on ontologies. in this paper, we provide and develop a semi-automatic integration approach in which ontology has a central role. our approach is to convert the different classical data sources (uml, xml, rdb) to local ontologies (owl2), then merge these ontologies into a global ontological model based on syntactic, structural and semantic similarity measurement techniques to identify similar concepts and avoid their redundancy in the merge result. our study is proven by a developed prototype that demonstrates the efficiency and power of our strategy and validates the theoretical concept.",18650929,"Big data, cloud and applications, bdca 2018",0.203
Supply of a key value database redis in-memory by data from a relational database," rdb , nosql , redis , data migration , key value database , in-memory","Key value databases are highly adopted to provide quick access to information that has an associative tabular function, for role to return unstructured values.
when you first look at the performance of a database, memory processing is the ultimate solution to latency. the birth of this approach of migration of a relational database towards a key value database redis is derived from performance improvement. the entire migration is based on the extraction of the data from the relational database and its injection into the key value database following methods that communicate with both databases. the entire migration is done automatically without the interference of the human factor, a prototype has been created that proves the effectiveness of this approach.",21588481,2018 19th ieee mediterranean electrotechnical conference (ieee melecon'18),N/A
Migration of a relational databases to nosql: the way forward," sql rdb , nosql , big data , semantic enrichment , data migration , mongodb","Nosql databases are designed to solve data processing problems in volume. growth data today pushes us to think about new concepts and approaches for converting data from a source database to a nosql database. this paper describes some approaches, methods of migration, database reverse engineering, and offers a migration approach from a relational database to a document-oriented database nosql (mongodb).",24727652,Proceedings of 2016 5th international conference on multimedia computing and systems (icmcs),N/A
Context modeling architecture in pervasive computing environments for multimedia documents adaptation," pervasive computing , user mobility , ontology , context , multimedia document , adaptation",The emergence of pervasive computing and user mobility leads to the need for dynamic adaptation of user interaction on the documents which generally are multimedia oriented. the exchange of multimedia documents has a special place. in this paper we propose an approach for modeling context in pervasive computing environments for multimedia documents adaptation. many researchers work in the area of pervasive and context-aware computing has developed different kinds of context models. our generic approach contains different levels that represent the process of multimedia documents adaptation.,24727652,Proceedings of 2016 5th international conference on multimedia computing and systems (icmcs),N/A
"Framework for a complete migration of relational databases to other types of databases(object oriented oo, object-relational or, xml)"," rdb , ordb , oodb , xml , semantic enrichment , schema migration , datamigration , framework","This paper describes a framework for achieving the migration of relational databases to other types of databases(oo, or, xml), based on a meta-model which plays the core role of the framework in establishing migration, exploiting the different object concepts including inheritance, aggregation, and composition.
the realization of the meta-model is based on the principle of semantic enrichment and metadata, considered as a flattened and extended relational database, migration starts with the migration of the relational physical schema to the target physical schema, next migrate the data from the relational database to the new database using the new physical schema. while reviewing some technology by proposing a comparative study, also making an overview of some approach of migration of different technologies, approaches and steps. several passages of the rdb migration to other database types have been realized according to the framework which proves its effectiveness.",21615322,2016 ieee/acs 13th international conference of computer systems and applications (aiccsa),N/A
Multimodal context based-adaptive architecture for multimedia documents," multimedia documents , heterogeneity of devices , multimodality , interaction , multimodal architecture , ubiquitous computing","Multimedia documents can be accessed at anytime and anywhere on a wide variety of devices, such as laptops, tablets and smartphones. the heterogeneity of devices and user preferences has raised a serious issue for multimedia contents adaptation.
our research focuses on multimedia documents adaptation with a strong focus on interaction with users and exploration of multimodality. we propose a semantic multimodal architecture for adapting multimedia documents based on a distributed implementation of w3c's multimodal architecture and interfaces applied to ubiquitous computing. the proposed architecture has the great advantage to offer a flexible way to users to satisfy their preferences and to make content more accessible and interactive.",18199127,2015 11th international conference on innovations in information technology (iit),N/A
On the finite volume element method for self-adjoint parabolic integrodifferential equations," covolume method , approximations","Finite volume element schemes for non-self-adjoint parabolic integrodifferential equations are derived and stated. for the spatially discrete scheme, optimal-order error estimates in l-2, h-1, and l-p,l- w-1,w-p norms for 2 <= p < infinity, are obtained. in this paper, we also study the lumped mass modification. based on the crank-nicolson method, a time discretization scheme is discussed and related error estimates are derived.",23144629,Journal of mathematics,0.310
A framework for mapping uml class into xml data based on technical specifications," component: uml , xml , xml schema , dom","This paper describes a methodology for mapping uml class into an xml schema. the structure of a class diagram is then translated element by element to xml schema using stepwise procedures. we use xsd schema for define and validate the structure of xml documents.
in this paper we use a mathematical formulation model for the mapping uml class into xml document, and a framework has been developed to validate this technique. the results demonstrating that the proposed approach is feasible correctly and efficiently.",24727652,2012 international conference on multimedia computing and systems (icmcs),N/A
Communication and migration of an embeddable mobile agent platform supporting runtime code mobility," mobile agent , mobile agent platform , agent communication","In this paper we present the design and the implementation of mobile-c, an ieee foundation for intelligent physical agents (fipa) compliant agent platform for mobile c/c++ agents. such compliance ensures the interoperability between a mobile-c agent and other agents from heterogeneous fipa compliant mobile agent platforms. also, the mobile-c library was designed to support synchronization in order to protect shared resources and provide a way of deterministically timing the execution of mobile agents and threads. the new contribution of this work is to combine the mechanisms of agent migration and their synchronization.",2158107X,International journal of advanced computer science and applications,0.278
Remarks on the existence results for second-order differential inclusions with nonlocal conditions," evolution-equations multi-valued map , mild solution , cosine function , nonlocal condition , fixed point","In this paper, we investigate the existence of mild solutions of second-order initial-values problems for a class of semilinear differential inclusions with nonlocal conditions. by using suitable fixed-point theorems for multi-valued maps, we study the case where the multi-valued map f has convex or nonconvex values.",10792724,Journal of dynamical and control systems,0.469
Almost periodic solutions of semilinear equations with analytic semigroups in banach spaces," semilinear equation in banach spaces , almost periodic solution , infinitesimal generator of analytic semigroups , fractional powers",We establish the existence and uniqueness of almost periodic solutions of a class of semilinear equations having analytic semigroups. our basic tool in this paper is the use of fractional powers of operators.,10726691,Electronic journal of differential equations,0.415
New unfreezing strategy of transfer learning in satellite imagery for mapping the diversity of slum areas: a case study in kenitra city-morocco," deep learning , diversity of slum , transfer learning , unfreezing strategy , remote sensing dataset , gis data","The purpose behind this paper research is to localize and detect, for the first time, three types of shantytowns that can exist in both urban and rural areas in morocco. the reason why we have conducted this study is the absence of diversity slum mapping in the form of dynamic gis data, which can be a part of national development strategies to tackle the risk of further proliferation of shantytowns. therefore, we first create a new database integration from five countries whose content contains 1366 high -resolution patches of 224 x 224 pixels divided into five classes: two types of ""urban slum"", one type of ""rural slum"", ""formal buildings"", and non -built-up area. second, we suggest employing a variety of performance metrics to come up with the best transfer learning -based models for the unfreezing stage. the study reveals that by handling the unfreezing of the front layers, we can produce a reliable new model where one condition is fulfilled, namely, where high -frequency dissimilarities have arisen between the target and the source datasets. quantitative results of these methodologies show that our dataset and our unfreezing strategy for the mobilenetv2 model are more accurate compared to other competing models. this new model can localize all possible changes in morphology and shape among the threeslum types with state-of-the-art performance that reaches an overall accuracy of 98.17%, a loss of 0.062, and a kappa score of 97.71%. our dataset and the code will be publicly available at the github 1 to share our results.",24682276,Scientific african,0.575
Voice recognition and user profiling," voice recognition , user profiling , speaker recognition , big data , audio data","Scientific exploration searches in different fields to define and outline an emergent area of research. one of the important challenges is that of profiling humans by their voice. in today's era of data technology, audio information plays an important role in increasing data volume. voice recognition is one of the methodologies that aims to recognize the person speaking the words, rather than the words themselves. as technology has evolved, voice recognition has become increasingly embedded in our everyday lives, with voice-driven applications in digital appliances. voice recognition systems enable consumers to interact with technology simply by speaking to them, enabling hands-free requests, reminders, and other simple tasks. this study could be viewed as a literature review on voice recognition technology with user profiling. the purpose of this research is to present voice recognition, to provide a global vision of human voice recognition over the big data era, and then highlight voice recognition techniques, use cases, and challenges. finally, we conclude by discussing some future research directions.",27315002,"Advances in cybersecurity, cybercrimes, and smart emerging technologies",N/A
Applying logarithm and russian multiplication protocols to improve paillier?s cryptosystem," cloud computing , cloud security , homomorphic encryption , paillier cryptosystem , sockets","Cloud computing provides on-demand access to a diverse set of remote it services. it offers a number of advantages over traditional computing methods. these advantages include pay-as-you-go pricing, increased agility and on-demand scalabil-ity. it also reduces costs due to increased efficiency and better business continuity. the most significant barrier preventing many businesses from moving to the cloud is the security of crucial data maintained by the cloud provider. the cloud server must have complete access to the data to respond to a client request. that implies the decryption key must be sent to the cloud by the client, which may compromise the confidentiality of data stored in the cloud. one way to allow the cloud to use encrypted data without knowing or decrypting it is homomorphic encryption. in this paper, we focus on improving the paillier cryptosystem, first by using two protocols that allow the cloud to perform the multiplication of encrypted data and then comparing the two protocols in terms of key size and time.",2158107X,International journal of advanced computer science and applications,0.278
Classification algorithm based on nodes similarity for manets," manets , classification , routing , clustering","This article describes an algorithm of classification by similarity of nodes in a manet (clustering). to optimize a network performance without influencing others, we must act only on the cluster structure. any additional calculation clutters more the system. to overcome this limitation, a strong classification method is needed. the purpose of classification algorithms is the search for an optimal partition. this optimum is obtained iteratively refining an initial pattern randomly selected by reallocating objects around mobile centers. in order to partition the nodes into clusters, we used this technique (iterative reallocation) from the well known k-means algorithm. the algorithm conception is based on the k-means method that we improved and adapted to make it suitable for mobile ad hoc networks. the algorithm is implemented on olsr giving birth to a new routing protocol: olsrkmeans.",26268493,International journal of online and biomedical engineering,0.390
Novel clustering method based on k-medoids and mobility metric," manets , clustering , mobility , k-medoids","The structure and constraint of manets influence negatively the performance of qos, moreover the main routing protocols proposed generally operate in flat routing. hence, this structure gives the bad results of qos when the network becomes larger and denser. to solve this problem we use one of the most popular methods named clustering. the present paper comes within the frameworks of research to improve the qos in manets. in this paper we propose a new algorithm of clustering based on the new mobility metric and k-medoid to distribute the nodes into several clusters. intuitively our algorithm can give good results in terms of stability of the cluster, and can also extend life time of cluster head.",19891660,International journal of interactive multimedia and artificial intelligence,0.904
Determination of covid-19 patients using machine learning algorithms," coronavirus , machine learning , naive bayes , decision tree , disease analysis","Coronavirus disease (covid-19), also known as severe acute respiratory syndrome (sars-cov2) and it has imposed deep concern on public health globally. based on its fast-spreading breakout among the people exposed to the wet animal market in wuhan city of china, the city was indicated as its origin. the symptoms, reactions, and the rate of recovery shown in the coronavirus cases worldwide have been varied. the number of patients is still rising exponentially, and some countries are now battling the third wave. since the most effective treatment of this disease has not been discovered so far, early detection of potential covid-19 patients can help isolate them socially to decrease the spread and flatten the curve. in this study, we explore state-of-the-art research on coronavirus disease to determine the impact of this illness among various age groups. moreover, we analyze the performance of the decision tree (dt), k-nearest neighbors (knn), naive bayes (nb), support vector machine (svm), and logistic regression (lr) to determine covid-19 in the patients based on their symptoms. a dataset obtained from a public repository was collected and pre-processed, before applying the selected machine learning (ml) algorithms on them. the results demonstrate that all the ml algorithms incorporated perform well in determining covid-19 in potential patients. nb and dt classifiers show the best performance with an accuracy of 93.70%, whereas other algorithms, such as svm, knn, and lr, demonstrate an accuracy of 93.60%, 93.50%, and 92.80% respectively. hence, we determine that ml models have a significant role in detecting covid-19 in patients based on their symptoms.",10798587,Intelligent automation and soft computing,0.338
Ontology driven testing strategies for iot applications," ontology , software testing , internet of things , automation","Internet-of-things (iot) has attained a major share in embedded software development. the new era of specialized intelligent systems requires adaptation of customized software engineering approaches. currently, software engineering has merged the development phases with the technologies provided by industrial automation. the improvements are still required in testing phase for the software developed to iot solutions. this research aims to assist in developing the testing strategies for iot applications, therein ontology has been adopted as a knowledge representation technique to different software engineering processes. the proposed ontological model renders 101 methodology by using protege. after completion, the ontology was evaluated in three-dimensional view by the domain experts of software testing, iot and ontology engineering. satisfied results of the research are showed in interest of the specialists regarding proposed ontology development and suggestions for improvements. the proposed reasoning-based ontological model for development of testing strategies in iot application contributes to increase the general understanding of tests in addition to assisting for the development of testing strategies for different iot devices.",15462218,Cmc-computers materials & continua,0.460
Blind and visually impaired user interface to solve accessibility problems," trust , design human computer interaction , accessibility problems , blinds , mobile application usability , user interface , visually impaired","Blind and visually impaired (bvi) users often have interface accessibility problems while using mobile applications. this study was conducted to reduce the cognitive effort required for interface navigation by identifying the accessibility issues according to the user's mental model. the study evaluated the accessibility of smartphone screens to solve organizational, presentation, and behavioral (opb) problems of using mobile applications. usability evaluation of an application was conducted and validated with a specific focus on bvi user experience. a total of 56 bvi participants were included in the evaluation. overall, four tasks to assess organization, avoidance of redundant information, serialization of content, and style and text presentation were assigned to the selected participants for a newly developed smartphone application. ethnography, task completion within a specific time, and system usability scale (sus) techniques were used for analysis and post-task evaluation. the results showed that the organization of the application was 100% effective for both blind and visually impaired participants. the efficiency of visually impaired participants was better than blind participants. the highest level of satisfaction among the blind participants was with the presentation (with a score of 87.62), and the highest level of satisfaction among the visually impaired participants was with the organization and presentation (with a score of 89.21 in each category). overall, this study indicated the application reduced the severity of opb problems, offering higher usability with increased satisfaction level and enhanced effectiveness and efficiency for bvi users. furthermore, the calculated results were provided a significant solution of opb for bvi users. hence, this study provides design and development guidelines based on a practical evaluation to overcome the smartphone application accessibility problems of bvi users.",10798587,Intelligent automation and soft computing,0.338
Extraction of opinion target using syntactic rules in urdu text," product feature-extraction , sentiment analysis aspect-based sentiment analysis , opinion mining , opinion target extraction , sentiment analysis in urdu , aspect extraction","Opinion target or aspect extraction is the key task of aspect-based sentiment analysis. this task focuses on the extraction of targeted words or phrases against which a user has expressed his/her opinion. although, opinion target extraction has been studied extensively in the english language domain, with notable work in other languages such as chinese, arabic etc., other regional languages have been neglected. one of the reasons is the lack of resources and available texts for these languages. urdu is one, with millions of native and non-native speakers across the globe. in this paper, the urdu language domain is focused on to identify opinion targets from written urdu texts. to accomplish this task, several syntactic rules are crafted to identify users' opinions and associated target words. these rules are crafted using the grammatical and linguistic context of the words in the sentence. to the best of our knowledge, there is no existing work available in the urdu domain for opinion target extraction. the proposed methodology is evaluated on an urdu language dataset and compared with an existing approach for the english language by applying the same technique. the experiments have demonstrated that the proposed approach achieves promising performance as compared to the applied english language domain approach.",10798587,Intelligent automation and soft computing,0.338
Agro-industrial residue gasification feasibility in captive power plants: a south-asian case study," life-cycle assessment , biomass gasification , levelized cost , rice husk , energy , consumption , generation , model gasification , rice husk , levelized cost of electricity , captive power plants","The objective of this study is to build knowledge on the potential of agro-industrial residue gasification (airg) for use in captive power generation through a comprehensive case study. in order to evaluate the economic viability, key performance indicators, such as net present value (npv), levelized cost of electricity (lcoe), and operating costs etc. are studied. the major textile industry located in the raiwind area of punjab province of pakistan has been selected. the effect and variations of the capacity factor has also been studied coupled with the levelized cost of electricity. the agricultural residue as feedstock to the gasifier is rice husk that is the abundantly available in south asia. furthermore, the impact of government subsidies on natural gas is also under the scope of the study. the agro-industrial residue gasification system is found to be a potential alternative to furnace oil (fo) or gas-based captive power plants (cpps). the results of residue-based gasification system imply a large potential when comparing the cost of electricity with national grid electricity during the peak hours. therefore, the proposed gasification system offers economic incentives when the textile industry potentially utilizes gasification-based electricity during peak hours and national grid electricity during off-peak hours. (c) 2020 elsevier ltd. all rights reserved.",03605442,Energy,2.110
Usability aspects of adaptive mobile interfaces for colour-blind and vision deficient users," adaptive interface , colour-blind , human computer interaction , mobile interface , usability , user experience (ux) , user context","Colour-blindness or colour vision deficiency (cvd) is not a disability rather it is naturally challenging vision problem in which user feel difficulty in distinguishing different colours especially differentiating among blue and yellow or red and green colours. it has broader impact as 8% (1 in 12) men and around 0.5% (1 in 200) women are facing this challenge. today the devices are becoming smarter in recognizing user limitations and operating systems in mobile-phones are providing such services which help user in their own context to overcome their barriers in usage of information and communication technologies. this paper explores the possibility to transform static interfaces into adaptive user interface which automatically change its behaviour according to user requirements. a research application has been developed which detects the colour-blindness types and automatically switch to respective colour mode. to simulate the visual abilities of user, the ishihara test is performed in start. two separate groups consisting 30 colour-blind users and another same sample of colour deficient users performed three different tasks in non adaptive and adaptive environment. the results indicated that adaptive environment enhanced user effectiveness in tasks completion up to 20% and increased their efficiency up to 8%. moreover, the users improved their satisfaction level for adaptive environment, specially the substantial difference of satisfaction recorded 40.54% in protanopia.",17387906,International journal of computer science and network security,N/A
Characterization of algerian honeys by palynological and physico-chemical methods," color characterization , moroccan honeys , unifloral honeys algeria , electrical conductivity , honey , melissopalynology , sugar","Sixty-six algerian honeys were sampled for investigation on their palynological and physicochemical properties. results showed that the total number of pollen grains in 10 g honey ranged from 2.1 x 10(3) to 1.12 x 10(6). in total 124 pollen species were identified and the main pollen forms were eucalyptus spp., olea europaea, papaver rhoeas, pimpinella anisum, carduus sp. and hedysarum coronarium. unifloral eucalypt honeys could be distinguished from other honeys from the western mediterranean region by the presence of p. rhoeas and centaurea species. physico-chemical analyses included moisture content, ph, electrical conductivity, diastase, invertase, hmf and 11 sugars. of these parameters the electrical conductivity was somewhat elevated compared to european honeys, sucrose content was below 4.3% and only small amounts of di- and trisaccharides were present. in general the samples were found to meet the requirements of the international honey standards.",00448435,Apidologie,0.727
