Titre de l'article,Titre de source,Résumé,ISSN,SJR
Intelligent Interface for Blind Users to Perform Collaborative Activities,International Conference on Computing and Information Technology,"Information and Communication Technology (ICT) has a crucial role in creating and implementing support applications for visual impaired users. For instance, most of them face a lot of challenges in carrying out educational activities and collaborating with another sighted individual. Visual impairment entails a lack of confidence and acceptance to be integrated in a collaborative group. The proposed research provides an innovative solution, based on Artificial Intelligence techniques, like a rule-based framework to perform efficient collaborative activities, along with awareness features to notify each other. Furthermore, our application enables speech communication. The developed system is evaluated with experiments through collaborative writing activities performed by blind users. The obtained results are promising because users showed curiosity, being concentrated on constructive tasks, and to have great …",-,153.0
Expert System to Diagnose Multiple Diseases using Association Factor,Life Science Journal,"Many learning algorithms exist that are routinely used as commercial system. However, given knowledge in health domain, it is difficult to train computers for the decision making and learning. The problem becomes complex when some common symptoms of multiple diseases are present. Some knowledge based systems are available to find a particular disease but cases exist where patient may have more than one illness. We focus on this issue and develop an expert system which not only finds certain disease specifically, but also diagnoses the probability of other diseases to support in prescribing enhanced treatment. The proposed system learns based on a given knowledge, creating rules for making probable decisions and finds association among symptoms occurred mutually in previous assessments. The tested results are quite satisfied and it works accordingly. The system is flexible for new rule generation …",10978135,0.0
An Expertise Recommender System for Web Cooperative Production,Journal of American Science,"This paper focuses on providing dedicated expertise recommender system to enhance awareness among group members, working in a distributed cooperative environment. Normally, coauthors lack the information about the production capabilities of their colleagues. As a result of this lack, when they need assistance for the production of complex objects (formulae, figures, style sheets, etc.) they ask their colleagues for help, consequently the authoring process is disturbed. On the other hand, personal referrals may not be useful due to human biasing, liking, and disliking. The existing expertise recommender systems work on user profiles containing user qualification, experience, and history of solved problems. These systems require manual database updation which can be performed by only skilled person. We treat the issue by developing an expertise recommender system which is incharge to seamlessly observe user activities and to auto detect a possible human expert of elaborated productions on the basis of a generic criterion. Whenever, a participant is deduced as a novice having some production problem, the developed system recommends him/her the presence of an expert with whom the novice can communicate. The entire goal is to enhance awareness coordination among collaborator activities and hence to generate a consistent shared production.[Journal of American Science 2010; 6 (7): 106-112].(ISSN: 1545-1003).","00925853, 15405907",6.293
Awareness Elements In Web Based Cooperative Writing Applications,2009 Asia-Pacific Conference on Computational Intelligence and Industrial Applications (PACIIA),"In this paper, we present our practical experience of exploring Web based Cooperative Writing Applications(CWA), a kind of groupware which supports people working in groups to achieve common tasks. While producing cooperatively, participants need structured information about activities of their colleagues and the shared production. Without these features, the cooperative production would be inconsistent and incoherent. We study awareness functionalities integrated into several CWAs on the basis of present and past elements, the kind of communication service, and coordination mechanism. The objective of this study is to investigate the trade-off concerning awareness and to provide evaluation assistance to a group or a member in choosing an application for joint production.",-,153.0
CWSLR Model Used to Synthesize a Software Development Environment and an Application Design Tool.,PDPTA,"A Software Engineering environment, the Cooperative Work Software Process (CWSP), and a design tool, the Cooperative Work Application Design (CWAD) are described. Both are based on the Cooperative Work Storage, Logic, and Resources model (CWSLR). A simplified version of the model is used to drive de user interface, and the structure of the model determines the control flow of the design process supported by CWAD. Utilization of the model is enabled because its components are explicitly related in abstraction hierarchies, and each dimension elaborates on simple predefined structures.",-,153.0
CWSLR Model for CSCW Information Systems.,PDPTA,"Cooperative Work (CSCW) information systems is to improve the performance of people cooperating in organizations through the use of information technology. This is a complex goal, which needs a framework to guide their conception and validation. This framework is based on the main factors of an information system, namely the organizational memory, the organizational resources and their logical structure. The model presented in this paper is the Cooperative Work Storage, Logic, and Resources (CWSLR), built around these three factors, each one corresponding to an axis. This orthogonal three-dimensional structure allows visualizing the relationships among the axes, when an instance of a given application is considered. These explicit relations give the possibility to assess the application structure in order to guide its development toward CSCW style architectures. The cooperation as a main goal the CWSLR model is based on coordination by results. This approach allows follow the natural practices currently found in organizations.",-,153.0
Identification of Hidden Inheritance Patterns in a Relational Database Based on Ontologies,Intelligent Systems Conference,"Nowadays, information sharing and reuse across varying relational databases using Ontology Web Language (OWL) for knowledge representation is being studied. Nevertheless, the basic methods generally neglected the hidden heritage, and as a result, the hierarchic relationships could be omitted during the OWL to RDB conversion. It leads to ontologies equipped with relational connections that are out of sync with the structure of database tables. In this regard, this paper presents a new technique to assist an OWL system identify and change ubiquitous inherited traits in relational databases. To be more concrete, in Criminology, our approach emphasizes the improvement of semantic data representation by revealing hidden genetic similarities between individuals and families. Through experimentation, we show the effectiveness of our method to exactly accomplish that by depicting the relationships in hierarchy …",21530858,9532.0
A Hybrid Technique for English to Urdu Machine Translation Using Transfer Learning,Intelligent Systems Conference,"Machine Translation is a technique that helps in overcoming the linguistic barriers often encountered in the global world. Multiple techniques are being employed for automatic machine translation. Encoder-decoder models are frequently being implemented to improve the performance of automatic translation systems. Convolutional Neural Network (CNN) is a novel approach used for extracting textual features from the dataset. Merging recurrent neural networks (LSTM and GRU) with CNNs has presented fruitful results when working with low-resource language translation like English-to-Urdu translation. To reduce the workload of the model, transfer learning is implemented by using the Fasttext word embedding model. To evaluate the models, BLEU, TER, METEOR precision, recall, and F-measure are the parameters which are calculated. It can be perceived from the results that hybrid models (i.e. a combination of …",21530858,9532.0
Intelligent Agent based System for Crop Monitoring.,Res. Comput. Sci.,"This paper describes the utility of environmental sensors for the monitoring of crops remotely, grown in a green house or a tunnel. The work combines the instrumentation techniques with knowledge based system. Agriculturalists frequently visit their farms to monitor the condition of plants and crop. This monitoring is time consuming. Conventional farms monitoring techniques and inspections give low crop production, attack of severe diseases parasites. Adequate amount of water, fertilizers, and nutrients can improve the yield and at the same time reduces the cost. In order to assist farmers and landowner, we designed and developed an agent based crop monitoring system. The objective of this research is to develop an agent based system to help the agriculturists to monitor the crops remotely by using recent technology and hence advise the farmers to take appropriate measures. The system is divided into main two main parts. First one is data acquisition and the other one is recommendation part. The readings of crucial environmental parameters are taken and sent to a central computer service. Color processing techniques are used to find the nitrogen deficiency in the green plants. Manual leaf color chart has been replaced by electronic one which is capable of providing sufficient information about future scenario of nitrogen content in the plants. The system uses real time information and recommends an appropriate solution of the problem caused by environmental stresses. In case of any critical situation, the system generates warnings in the form of an email, to be sent to the landowners or agriculturist.","00220000, 10902724",1.767
Multiagent Based System for Secondary Education Using Machine Learning,2018 17th IEEE International Conference on Machine Learning and Applications (ICMLA),"Artificial Intelligence has genuine imperative influence in our daily life rendering to the problem resolving. Many approaches were presented recently for developing TCBR applications. A classical and fundamental application is QA system with the assistance of textual cases, expertise acquaintance accumulation in the library full of past cases explanations and with the help of multi-agent. This challenge essentially needs an intelligent approach to overcome this problem. Many QA systems have been developed for English and other well-known languages however, no significant work was found for Urdu language. Despite spoken by millions of people, Urdu is an under-resourced language in terms of available computational resources. It inherits a lot of vocabulary from Arabic, Persian and the native languages of South Asia. Due to this influence, it has a complex morphology. In the proposed system, we meet the …",-,153.0
Visualizing norm polarities for ethical filtering using color-encoded normative tag cloud,2014 11th Annual High Capacity Optical Networks and Emerging/Enabling Technologies (Photonics for Energy),"Online content has been recently subjected to ethical filtering in conformance to regional set of norms. Normative judgments are often difficult to determine the limits to dispersion and free-flow of information by state and society. Filtering unethical website content requires keyword analysis, a challenge in current manual IP filtering technologies. Due to sparse representation of objectionable words in online content, the seed sets need to focus on positive norms in order to segregate norm violations. In this research work, we exploit these polarities in norm semantics to solve the problem of ethical filtering. We scan text for belief-conforming ethical norms, and filter out words that fall below the norm threshold. Using the Noahide Norms mapped to seven colors and conforming scores, we visualize normative tag cloud. The objective of our positively oriented normative tag cloud is to conform and filter raw text according to …",-,153.0
Intelligent System for Searching Nearest Services using Multi-Agent Approach,Research in Computing Science,"In this paper, we present the multi agent approach for developing an intelligent system for mobile users to find most of the different type of deals/services available nearby to them at unknown places. Now days, smart phone have the ability to determine the exact position of a terminal on the earth. By use of the ability the system collects the user's position and discovers the services available near to him. Many services are being offered by mobile companies and Web sites to look for locations, finding routs, and tracking devices. However, the Web content is updated after certain interval of time and is not so much interactive. For instance, the information like doctors on duty, available medicines, and beds is outdated and cause the wastage of time as well as money of visitors. We resolve this issue by means of design and development of an intelligent system whose architecture is based on multi-agents who collaborate …","10919856, 15265528",2.277
MEPSES: A Methodology to Enhance Programming Skills of E-learning Students,Archives Des Sciences,"E-learning students, owing to not in direct coordination of their instructors, face lack of guidance to improve software designing and development skills. Software industry, due to lack of expertise and necessary skills, considers fresh graduates burden on their business. Students face difficulty to get a good job and mostly are exploited and offered less pay. Solution of these problems demands an environment where E-learning students, may have an opportunity to learn software development techniques like object oriented programming, database designing and UML modeling, by working with highly skilled and experienced professionals. In this paper authors based on their experience of about two years of working on AdempiereERP-an open source project, propose a methodology to groom programming skills of E-learning students by getting engaged them in open source projects.","03355985, 17775825",0.048
A Hybrid System for Reliability Centered Maintenance,IOS Press,"Reliability centered maintenance provides failure free functionality of heavy plant equipment. Tedious preventive maintenance tasks, inapplicable solutions and significant start up costs are the major limitations of this strategy. The aim of this paper is to improve the analysis efficiency of reliability centered maintenance without trading off quality by its integration with artificial intelligence. In order to achieve key performance indicators for the plant management, we incorporated rule based reasoning along with the case based reasoning. While only case based technique was introduced previously, our approach reduces repetitive tasks and also provides support in predicting equipment needs, by applying artificial neural networks.","00063568, 15253244",5.308
An Empirical Study of Awareness in Web Based Cooperative Writing Applications,Journal of American Science,"As part of any groupware that supports people achieving a common goal, it is required to provide information about structured shared objects and the activities of participants, as well as an efficient communication service and effective coordination mechanism. Thus, this paper presents an empirical study of the trade-off concerning awareness functionality with in fifteenth well know cooperative writing applications (CWAs), evaluated on the basis of present and past awareness elements, these applications are classified taking into account time and work place parameters.","00925853, 15405907",6.293
Integration of different heuristics to learn concepts,"Proceedings of IEEE International Conference on Systems, Man and Cybernetics","The system proposed here is within the global nonsupervised induction learning field. We deal with problems defined as follows: Given a set of objects, a set of attributes, and a table of description of attribute-values of the objects; the goal is: first, to partition the set of observations in classes (clusters), and second, to discover for each cluster some general features fulfilled by its members. We successively describe the three processes of our system. First we explain the verification process. Then, the classification phase is detailed by giving the algorithm the employed and its complexity analysis. The third section describes the concept formation process based on the organisation of the clusters obtained in hierarchies. The corresponding algorithm and its worst-case complexity are also specified. The whole mechanism is illustrated throughout the text with the experimental results obtained in the contexts of chemistry …",1062922X,563.0
Existence and regularity results for a singular parabolic equations with degenerate coercivity.,Discrete & Continuous Dynamical Systems-Series S,"The aim of this paper is to prove existence and regularity of solutions for the following nonlinear singular parabolic problem Here is a bounded open subset of and is a non-negative function that belong to some Lebesgue space,,,,, and","15313492, 1553524X",1.467
On nonlinear parabolic equations with singular lower order term,Journal of Elliptic and Parabolic Equations,"In this paper we study existence and regularity results for solution to a nonlinear and singular parabolic problem. The model is {∂ u ∂ t-div ((a (x, t)+| u|^ q) ∇ u)= f u^ γ & in & Q,\u (x, t)= 0 & on & Γ,\u (x, 0)= u_ 0 (x) & in &\varOmega,.∂ u∂ t-div ((a (x, t)+| u| q)∇ u)= fu γ in Q, u (x, t)= 0 on Γ, u (x, 0)= u 0 (x) in Ω, where\varOmega Ω is a bounded open subset of R^ N, RN, N ≥ 2, N≥ 2, Q is the cylinder\varOmega * (0, T), Ω×(0, T), T> 0, T> 0, Γ Γ the lateral surface ∂\varOmega * (0, T),∂ Ω×(0, T), q> 0, q> 0, γ> 0, γ> 0, and f is non-negative function belonging to some Lebesgue space L^ m (Q), L m (Q), m ≥ 1 m≥ 1 and u_ 0 ∈ L^ ∞ (\varOmega) u 0∈ L∞(Ω) such that ∀\; ω ⊂ ⊂\varOmega,\; ∃\; D_ ω> 0:\; u_ 0 ≥ D_ ω\;\; in\; ω.∀ ω⊂⊂ Ω,∃ D ω> 0: u 0≥ D ω in ω.","22969020, 22969039",1.204
Calcul harmonique dans les algèbres {}-Banach involutives et applications,Bulletin of the Belgian Mathematical Society-Simon Stevin,"On définit et on étudie un calcul fonctionnel harmonique dans les algebres p-Banach, 0< p≤ 1, complexes munies d’une involution d’espace vectoriel. Ce calcul permet de donner un sensa f (a), ou a est un élément de l’algebre et f est une fonction harmonique sur un ouvert simplement connexe contenant Spa. Comme applications, nous donnons dans les algebres p-Banach une preuve du lemme de JWM Ford, sur l’existence de la racine carrée hermitienne. Ensuite nous établissons, pour les fonctions harmoniques, des résultats analoguesa ceux de Ky Fan et de Von Neumann. Enfin, comme autre application, nous construisons un calcul fonctionnel harmonique dans les algebres p-Banach réelles.",13701444,0.41
p-Banach algebras with generalized involution and C^*-algebra structure,Turkish Journal of Mathematics,"In this paper, we consider p-Banach algebras endowed with a generalized involution. We show that various C^*-like conditions force the algebra to be C^*-algebra under an equivalent norm.",13000098,0.944
Square roots and n-th roots in pseudo-Michael algebras,Le Matematiche,The purpose of this paper is to study the existence of square roots and more,"11206330, 17200768",0.7
Exceptional sets with a weight in a unit ball,Bulletin of the Belgian Mathematical Society-Simon Stevin,We introduce a new class of algebras which extends classical -algebras to the -normed case with generalized involution. We give results concerning the symmetry and the -algebra structure in such algebras.,13701444,0.41
On A? p-algebras of the first kind.,Bulletin of the Belgian Mathematical Society Simon Stevin,We introduce a new class of algebras which extends classical A∗-algebras to the p-normed case with generalized involution. We give results concerning the symmetry and the C∗-algebra structure in such algebras.,13701444,0.41
"BULLETIN OF THE GREEK MATHEMATICAL SOCIETY VOLUME 45, 2001 (129–138) Commutativé de certaines a. 1. m. pseudo",Bulletin,"We consider locally multiplicatively pseudo-convex algebras E endowed with a vector involution xx* such that (xy)*= x* y*, for every≈ and← y in E. We prove that if such algebras are hermitian and Q-algebras, then they are commutative modulo their Jacobson radicals. It is also shown that several conditions analogous to C*-properties force the algebra to be commutative.","00332909, 19391455",18.32
An improved spatially controlled reaction–diffusion equation with a non-linear second order operator for image super-resolution,Nonlinear Analysis: Real World Applications,"In this work, we introduce an efficient second-order reaction–diffusion (RD) equation for noise removal and image super-resolution. The main idea is to decompose the image into two components: cartoon and texture parts using a new spatially controlled diffusion obtained by incorporating into RD equation an anti-diffusion effect modelled by a space dependent parameter γ. Hence, the proposed equation leads to a noticeable improvement in texture structure preservation. Moreover, we demonstrate an existence result of global solutions and analyse the asymptotic behaviour of the equation. Furthermore, an approximation of the sensitive parameter γ is established using a learning optimization technique. As a result, the anti-diffusion parameter γ can be efficiently computed to increase the quality of the restored image and preserve its texture. The proposed approach is tested and validated using multiple numerical …",14681218,2.179
Period steady-state identification for a nonlinear front evolution equation using genetic algorithms,International Journal of Bio-Inspired Computation,"In molecular beam epitaxy, it is known that a planar surface may suffer from a morphological instability in favour to different front pattern formations. In this context, many studies turned their focus to the theoretical and numerical analysis of highly nonlinear partial differential equations which exhibit different scenarios ranging from spatio-temporal chaos to coarsening processes (i.e., an emerging pattern whose typical length scale with time). In this work our attention is addressed toward the study of a highly nonlinear front evolution equation proposed by Csahók et al. (1999) where the unknowns are the periodic steady states which play a major role in investigating the coarsening dynamics. Therefore the classical methods of Newton or a fixed point type are not suitable in this situation. To overcome this problem, we develop in this paper a new approach based on heuristic methods such as genetic algorithms in order …","17580366, 17580374",2.365
On the existence of global weak solutions to a generalized Keller Segel model with arbitrary growth and nonlinear signal production,Annals of the University of Craiova-Mathematics and Computer Science Series,In this work we present the mathematical analysis of a system able to describe the biological chemotaxis,"12236934, 22469958",0.438
CONVERGENCE TO EQUILIBRIUM OF A DC ALGORITHM FOR AN EPITAXIAL GROWTH MODEL.,International Journal of Numerical Analysis & Modeling,"A linear numerical scheme for an epitaxial growth model is analyzed in this work. The considered scheme is already established in the literature using a convexity splitting argument. We show that it can be naturally derived from an optimization viewpoint using a DC (difference of convex functions) programming framework. Moreover, we prove the convergence of the scheme towards equilibrium by means of the Lojasiewicz-Simon inequality. The fully discrete version, based on a Fourier collocation method, is also analyzed. Finally, numerical simulations are carried out to accommodate our analyzis.",17055105,1.244
Improved GWO algorithm for the determination of the critical wrinkle length of graphene,Annals of the University of Craiova-Mathematics and Computer Science Series,"Graphene, one of the most important discoveries in the field of materials, is an interesting two-dimensional flexible membrane which has been highly studied by physicians in the last decade as it has shown tremendous utility in fundamental studies, industrial and electronic applications, ranging from nanoelectronics to biology, thanks to its notable electronic, mechanical and chemical properties. Graphene in its natural state is non-flat and tends to crumple. The wrinkles are usually considered to be a result of stretching and bending forces, and are viewed as local minimizers of a suitable elastic energy.","12236934, 22469958",0.438
Energetics and coarsening analysis of a simplified non-linear surface growth model.,Discrete & Continuous Dynamical Systems-Series S,We study a simplified multidimensional version of the phenomenological surface growth continuum model derived in [6]. The considered model is a partial differential equation for the surface height profile u which possesses the following free energy functional:,"15313492, 1553524X",1.467
Numerical Simulation of the anomalous electrodeposition of Nickel-Iron alloy on rotating disk electrode,Journal of Physics: Conference Series,"Electrodeposition was originally used for the preparation of metallic mirrors and corrosion resistant surfaces. In this paper, we study a stationary one dimensional system modelling nickel-iron alloy electrodeposition. This system takes into consideration the following phenomena: dissociation, diffusion, electromigration, convection and deposition of multiple ion species. In this work, we present the finite element discretization of the main model supported with a numerical algorithm to effectively handle the nonlinearities. We compare the obtained numerical result with experimental data reported in the literature and show that our simulation method can predict the characteristic features of the Nickel-Iron system.","17426588, 17426596",0.563
Mathematical analysis of a modified Weikert system for image enhancement,Annals of the University of Craiova-Mathematics and Computer Science Series,"This paper tackles the problem of proving global existence for an abstract nonlinear Reaction-Diffusion system inspired by the famous Weickert model. We show the existence of a global weak solution to a truncated version of the proposed system using a fixed point approach. Then, we establish some crucial estimates under Quasi-positivity and a Triangular Structure condition on the nonlinearities. On passage to the limit, we recover the original system and prove the existence for only integrable nonlinearities and initial conditions.","12236934, 22469958",0.438
A modified adaptive large neighbourhood search for a vehicle routing problem with flexible time windows,Mathematical modeling and computing,"Vehicle routing problems are widely available in real world application. In this paper, we tackle the resolution of a specific variant of the problem called in the literature vehicle routing problem with flexible time windows (VRPFlexTW), when the solution has to obey several other constraints, such as the consideration of travel, service, and waiting time together with time-window restrictions. There are proposed two modified versions of the Multi-objective Adaptive Large Neighbourhood Search (MOALNS). The MOALNS approach and its different components are described. Also it is listed a computational comparison between the MOALNS versions and the Ant colony optimiser (ACO) on a few instances of the VRPFlexTW.","23129794, 24153788",1.099
PSOBER: PSO based entity resolution,Mathematical modeling and computing,"Entity Resolution is the task of mapping the records within a database to their corresponding entities. The entity resolution problem presents a lot of challenges because of the absence of complete information in records, variant distribution of records for different entities and sometimes overlaps between records of different entities. In this paper, we have proposed an unsupervised method to solve this problem. The previously mentioned problem is set as a partitioning problem. Thereafter, an optimization algorithm-based technique is proposed to solve the entity resolution problem. The presented approach enables the partitioning of records across entities. A comparative analysis with the genetic algorithm over datasets proves the efficiency of the considered approach.","23129794, 24153788",1.099
Wrinkle shape analysis of the Graphene on nano-particles.,Chemical Reviews,"Graphene, one of the most promising discoveries in the field of materials, is an interesting two-dimensional flexible membrane which attracted recently significant attention due to its extraordinary mechanical and electrical properties. Graphene in its natural state is non-flat and tends to crumple. The wrinkles are usually considered to be a result of compressive stresses or stretching and bending forces,[2]. In this paper we focus on the study of the wrinkling shape of Graphene. A detailed geometric model derived by Yamamoto and co-authors, describing the shape of the wrinkles in terms of a deflection profile, is mathematically analysed. The Euler Lagrange equation associated to this problem is formulated in the context of a constrained optimisation and numerical simulations are carried out to compute the optimal profile using a gradient descent method.","00092665, 15206890",49.758
Weak solutions of some quasilinear elliptic equations with data measures,SIAM journal on mathematical analysis,"Existence and uniqueness of weak solutions for some quasilinear elliptic equations with data measures and arbitrary growth with respect to the gradient are studied. Usual techniques based on a priori -bounds for the solutions and its gradient do not apply so that a new approach is needed. Various necessary or sufficient conditions are obtained on the data for existence. Relationship between existence of supersolutions and solutions is considered. Finally, sharp uniqueness results for weak solutions are given.","00361410, 10957154",2.193
Solutions faibles d'équations paraboliques quasilinéaires avec données initiales mesures,Annales mathématiques Blaise Pascal,"Dans ce papier, l’étude porte sur l’existence de solutions faibles de certaines équations paraboliques quasilinéaires avec données initiales mesures et une nonlinéarité quel-conque sur le gradient. Les techniques classiques d’estimation de solutions ainsi que leur gradient dans ca ne peuvent pas être appliquées et une nouvelle approche est considérée. On obtient des conditions nécessaires sur la donnée initiale pour avoir l’existence de solutions. Un résultat d’existence pour toute mesure bornée est donné. Enfin, on présente des résultats de comparaison et d’unicité de solutions.","12591734, 21187436",0.222
Global existence for reaction-diffusion systems with mass control and critical growth with respect to the gradient,Journal of Mathematical Analysis and Applications,"In this paper we study the existence of global weak solutions for 2×2 reaction-diffusion systems for which two main properties hold: the positivity of the solutions and the total mass of the components are preserved with time. Moreover we suppose that the non-linearities have critical growth with respect to the gradient. The technique we use here in order to prove global existence is in the same spirit of the method developed by Boccardo, Murat, and Puel for a single equation.","0022247X, 10960813",1.396
Weak periodic solutions of some quasilinear parabolic equations with data measures,Journal of Inequalities in Pure and Applied Mathematics,The goal of this paper is to study the existence of weak periodic solutions for some quasilinear parabolic equations with data measures and critical growth nonlinearity with respect to the gradient. The classical techniques based on Cα-estimates for the solution or its gradient cannot be applied because of the lack of regularity and a new approach must be considered. Various necessary conditions are obtained on the data for existence. The existence of at least one weak periodic solution is proved under the assumption that a weak periodic super solution is known. The results are applied to reaction-diffusion systems arising from chemical kinetics.,14435756,0.0
"Flood frequency analysis and generation of flood hazard indicator maps in a semi-arid environment, case of Ourika watershed (western High Atlas, Morocco)",Journal of African Earth Sciences,"The development of the statistical models and flood risk modeling approaches have seen remarkable improvements in their productivities. Their application in arid and semi-arid regions, particularly in developing countries, can be extremely useful for better assessment and planning of flood risk in order to reduce the catastrophic impacts of this phenomenon.
This study focuses on the Setti Fadma region (Ourika basin, Morocco) which is potentially threatened by floods and is subject to climatic and anthropogenic forcing. The study is based on two main axes: (i) the extreme flow frequency analysis, using 12 probability laws adjusted by Maximum Likelihood method and (ii) the generation of the flood risk indicator maps are based on the solution proposed by the Nays2DFlood solver of the Hydrodynamic model of two-dimensional Saint-Venant equations. The study is used as a spatial high-resolution digital model (Lidar …","1464343X, 18791956",2.516
Computational simulation of the bone remodeling using the finite element method: an elastic-damage theory for small displacements,Theoretical Biology and Medical Modelling,"Background
The resistance of the bone against damage by repairing itself and adapting to environmental conditions is its most important property. These adaptive changes are regulated by physiological process commonly called the bone remodeling. Better understanding this process requires that we apply the theory of elastic-damage under the hypothesis of small displacements to a bone structure and see its mechanical behavior.
Results
The purpose of the present study is to simulate a two dimensional model of a proximal femur by taking into consideration elastic-damage and mechanical stimulus. Here, we present a mathematical model based on a system of nonlinear ordinary differential equations and we develop the variational formulation for the mechanical problem. Then, we implement our mathematical model into the finite element method …",17424682,1.389
"The rainfall-runoff model GR4J optimization of parameter by genetic algorithms and Gauss-Newton method: application for the watershed Ourika (High Atlas, Morocco)",Arabian Journal of Geosciences,"Hydrological modeling aims to place the disposal of water actors, very simple tools for hydrological simulation to start with, the basic observations made on rainfall until the reproduction of the response the flow of a basin. The aims of this work consist, first, of testing the model GR4J (Génie Rural à 4 paramètres Journalier) performances of the rain-flow in semi-arid environment watershed and secondly, of highlighting the contribution of new optimization techniques (genetic algorithm, Gauss-Newton) in determining the optimal parameters of the model. The results obtained show that those methods of optimization are robust and reliable in comparison with the “solver” optimization used in Excel that usually applies for GR4J model. In terms of the model performances, we obtained a very satisfying results. Also, the simulations clearly show the influence of the melting snow on the Ourika’s basin flows; indeed …","18667511, 18667538",1.962
Nonlinear parabolic equation having nonstandard growth condition with respect to the gradient and variable exponent,Opuscula Mathematica,"We are concerned with the existence of solutions to a class of quasilinear parabolic equations having critical growth nonlinearity with respect to the gradient and variable exponent. Using Schaeffer’s fixed point theorem combined with the sub- and supersolution method, we prove the existence results of a weak solutions to the considered problems.","12329274, 23006919",1.108
Weak Periodic Solution for Semilinear Parabolic Problem with Singular Nonlinearities and Data,Mediterranean Journal of Mathematics,"We consider a periodic parabolic problem involving singular nonlinearity and homogeneous Dirichlet boundary condition modeled by $$\begin{aligned} \dfrac{\partial u}{\partial t}-\Delta u =\dfrac{f}{u^{\gamma }} \text { in }Q_{T}, \end{aligned}$$where is a period, is an open regular bounded subset of , , and f is a nonnegative integrable function periodic in time with period T. Under a suitable assumptions on f, we establish the existence of a weak T-periodic solution for all ranges of value of .","16605446, 16605454",1.162
Convergence to equilibrium for discretized gradient-like systems with analytic features,IMA Journal of Numerical Analysis,"We give general conditions which guarantee that the sequence generated by a descent algorithm converges to an equilibrium point. The convergence result is based on the Łojasiewicz gradient inequality; optimal convergence rates are also derived, as well as a stability result. We show how our results apply to a large variety of standard time discretizations of gradient-like flows. Schemes with variable time step are considered and optimal conditions on the maximal step size are derived. Applications to time and space discretizations of the Allen–Cahn equation, the sine–Gordon equation and a damped wave equation are given.","02724979, 14643642",2.816
Existence Result for Triangular Reaction—Diffusion Systems with L1 Data and Critical Growth with Respect to the Gradient,Mediterranean journal of mathematics,"In this paper we prove the existence of weak solutions for m × m reaction-diffusion systems for which two main properties hold: the positivity of the solutions and the triangular structure. Moreover, the nonlinear terms have critical growth with respect to the gradient.","16605446, 16605454",1.162
Existence results of weak periodic solution for some quasilinear parabolic problem with L1 data,Annals of the University of Craiova-Mathematics and Computer Science Series,The goal of this paper is to study the existence of a weak periodic solution for a quasilinear parabolic equation with arbitrary growth non linearity with respect to the gradient and Dirichlet boundary condition.,"12236934, 22469958",0.438
Existence of weak periodic solution for quasilinear parabolic problem with nonlinear boundary conditions,Annals of the University of Craiova-Mathematics and Computer Science Series,"In this work, we show the existence of weak periodic solutions of a quasilinear parabolic problem with arbitrary growth nonlinearity in gradient and nonlinear boundary conditions. The objective will be achieved by reformulating the problem in abstract form and applying some results and techniques of functional analysis such as the method of truncation associated with Schauder fixed point theorem.","12236934, 22469958",0.438
Mathematical analysis for a model of nickel-iron alloy electrodeposition on rotating disk electrode: parabolic case,International Journal of Mathematics and Statistics,"To better understand the nickel-iron electrodeposition process, we are interested in the one-dimensional model. This model addresses dissociation, diffusion, electromigration, convection and deposition of multiple ion species. We study the global existence of solutions that are here different ion concentrations in the mixture as well as the electric potential. The non regularity of data imposes us to introduce the notion of weak solution adapted for our model. The classic techniques, based on the Cα estimations, to prove the existence and the positivity of solutions fall in defect and news techniques must be developed. We present them here and we obtain global existence and positivity of weak solution for our model without no restriction of growth on the non linear terms.","09731377, 09737545",0.0
Existence and uniqueness of renormalized periodic solution to a nonlinear parabolic problem with variable exponent and L1 data,Journal of Mathematical Analysis and Applications,"We consider a class of nonlinear periodic equations having p (x)-growth conditions and L 1 data. By using generalized Lebesgue and Sobolev spaces with variable exponent, we establish the existence and uniqueness of a renormalized periodic solution to the studied problem.","0022247X, 10960813",1.396
Some results on the existence of weak periodic solutions for quasilinear parabolic systems with L1 data,Boletim da Sociedade Paranaense de Matemática,"Periodic behavior of solutions of quasilinear parabolic systems intervenes in the mathematical modeling of a large variety of phenomena, no only in the biology but also in natural sciences, chimical, engineering and ecology, such as gas dynamics, fusion processes, certain biological models, cellular processes and disease propagation. The literature of time periodic solutions of ordinary, functional differential equations have a great development, several results has been published not just in pure journals of mathematics but also those of applied and modelling, this is due in part to their wide applicability. Most of the studies are devoted to the existence of global solutions, their periodic behavior and regularity properties, particularly in relation to degenerate and singular systems. At the same time, the periodicity of solutions for parabolic boundary value problems has also attracted great interests of scientists, and a lots of results have been reported under either Dirichlet or Neumann boundary conditions ([6, 10, 20, 24]) all these papers treat classical solutions. In the last few years attention has been given to the notion of weak solutions for boundary value problems ([3, 8, 9, 14, 18]) these works used differents method, topological degree theory, Schauder fixed point theorem, bifurcation theory, method of sub and super solutions.","00378712, 21751188",0.498
Parabolic systems driven by general differential operators with variable exponents and strong nonlinearities with respect to the gradient,Journal of Elliptic and Parabolic Equations,"We consider a class of nonlinear parabolic systems driven by Leray-Lions operators with p(x)-growth conditions and strong nonlinearity with respect to the gradients. Under the assumption that a nonnegative weak super-solutions is known, we prove the existence of nonnegative weak solutions to the considered systems.","22969020, 22969039",1.204
